game_name,cpu,ram,gpu,storage,os,ram_gb_req,ram_market_pct,gpu_market_pct,gpu_tier,gpu_match_status,price_cpu_usd,price_ram_usd,price_gpu_usd,price_storage_usd,total_upgrade_usd,steam_survey_date
Hogwarts Legacy,Intel Core i5-6600,6 GB,NVIDIA GeForce GTX 980,30 GB,Windows 10,6.0,1.0,,mid,unknown,,,,,,2026-05
God of War,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 960,70 GB,Windows 10 64-bit,8.0,0.9849,0.0018,mid,found,,,,,,2026-05
Cyberpunk 2077,Intel Core i5-3570K  or FX-8310,8 GB,NVIDIA GeForce GTX 970  or Radeon RX 470,70 GB,Windows 10 64-Bit,8.0,0.9849,,mid,unknown,,,,,,2026-05
Fortnite,Intel Core i3-3225,4 GB,Intel HD 4000  or Radeon HD 7870,15 GB,Windows 7/8/10 64-bit,4.0,1.0,,integrated,unknown,,,,,,2026-05
Valorant,Intel Core 2 Duo E8400  or Athlon 200GE,4 GB,Intel HD 4000,23 GB,Windows 7 64-bit,4.0,1.0,,integrated,unknown,,,,,,2026-05
Red Dead Redemption 2,AMD FX-6300,8 GB,AMD Radeon R9 280,150 GB,Windows 7 64-Bit,8.0,0.9849,,low,unknown,,,,,,2026-05
Choo-Choo Charles,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 470,3 GB,Windows 7 64-bit,4.0,1.0,,unknown,unknown,,,,,,2026-05
Apex Legends,Intel Core i3-6300  or FX-4350,6 GB,NVIDIA GeForce GT 640  or Radeon HD 7730,22 GB,Windows 7 64-bit,6.0,1.0,,unknown,unknown,,,,,,2026-05
Rust,Intel Core i7-3770,8 GB,AMD Radeon R9 280,10 GB,Requires a 64-bit processor and operating system,8.0,0.9849,,low,unknown,,,,,,2026-05
Windows 11,Intel Celeron G4900,4 GB,NVIDIA GeForce GTX 1050,64 GB,Windows 10,4.0,1.0,0.0059,low,found,,,,,,2026-05
Marvel’s Spider-Man Remastered,Intel Core i3-4160,8 GB,NVIDIA GeForce GTX 950,75 GB,Windows 10 64-bit,8.0,0.9849,,mid,unknown,,,,,,2026-05
Need for Speed Unbound,Intel Core i5-8600,8 GB,NVIDIA GeForce GTX 1050 Ti,50 GB,Windows 10 64-bit,8.0,0.9849,0.0126,low,found,,,,,,2026-05
Death Stranding,Intel Core i5-3470,8 GB,AMD Radeon RX 560,80 GB,Windows 10,8.0,0.9849,,unknown,unknown,,,,,,2026-05
Football Manager 2023,AMD Athlon 64 FX-34,4 GB,AMD GeForce 9600M GT,7 GB,Windows 7,4.0,1.0,,legacy,legacy,,,,,,2026-05
Call of Duty Modern Warfare 3,Intel Core 2 Duo E6600,2 GB,NVIDIA GeForce 8600 GT,16 GB,Windows XP,2.0,1.0,,legacy,legacy,,,,,,2026-05
Xenia,Intel Pentium 4 2.00GHz,256 MB,ATI FireGL T2-128,310 MB,Windows 7/8/8.1/10,0.25,1.0,,legacy,legacy,,,,,,2026-05
Lost Ark,Intel Core i3-2340UE,8 GB,AMD Radeon HD 6850,50 GB,Windows 10 (64-bit only),8.0,0.9849,,legacy,legacy,,,,,,2026-05
Dead by Daylight,Intel Core i3-4170,8 GB,NVIDIA GeForce GTX 460,25 GB,"64-bit Operating Systems (Windows 7, Windows 8.1)",8.0,0.9849,,unknown,unknown,,,,,,2026-05
Far Cry 4,Intel Core i5-750,4 GB,ATI Radeon HD 5850,30 GB,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),4.0,1.0,,legacy,legacy,,,,,,2026-05
Call of Duty WW2,Intel Core i3-3225,8 GB,AMD Radeon HD 7850,90 GB,Windows 7 64-Bit,8.0,0.9849,,low,unknown,,,,,,2026-05
7 Days to Die,Intel Core 2 Duo E8400,6 GB,AMD Radeon HD 5450,4 GB,Ubuntu 12.04,6.0,1.0,,legacy,legacy,,,,,,2026-05
FIFA 20,AMD Phenom II X4 965,8 GB,NVIDIA GeForce GTX 660,50 GB,Windows 7,8.0,0.9849,,low,unknown,,,,,,2026-05
F1® 22,Intel Core i5-9600K,8 GB,AMD Radeon RX 470,80 GB,Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004),8.0,0.9849,,low,unknown,,,,,,2026-05
Jurassic World Evolution 2,Intel Core i5-4590,8 GB,AMD Radeon RX 470,14 GB,Windows 10 64bit (min version 1809),8.0,0.9849,,low,unknown,,,,,,2026-05
Dead Space,Intel Core i5-8600K  or Ryzen 5 2600X,8 GB,NVIDIA GeForce GTX 970,1 GB,Microsoft Windows 10,8.0,0.9849,0.002,mid,found,,,,,,2026-05
eFootball  PES 2020,Intel Core i5-3470,4 GB,AMD Radeon HD 7870,40 GB,Windows 7 SP1/8.1/10 - 64bit,4.0,1.0,,low,unknown,,,,,,2026-05
Lost Light,Intel Core i3-530,4 GB,AMD Radeon Pro 450,10 GB,"Windows7SP1, Windows8.1, Windows10",4.0,1.0,,unknown,unknown,,,,,,2026-05
WWE 2K22,Intel Core i5-3550,8 GB,NVIDIA GeForce GTX 1060,60 GB,Windows 10 64-bit,8.0,0.9849,0.0159,mid,found,,,,,,2026-05
DCS World Steam Edition,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,,4.0,1.0,,legacy,legacy,,,,,,2026-05
Sifu,AMD FX-4350,8 GB,AMD Radeon R7 250,22 GB,Windows 10,8.0,0.9849,,low,unknown,,,,,,2026-05
Call of Duty Ghosts,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,,4.0,1.0,,legacy,legacy,,,,,,2026-05
Borderlands 3,Intel Core i5-3570,6 GB,NVIDIA GeForce GTX 680,75 GB,Windows 7 Upwards 64 bit,6.0,1.0,,mid,unknown,,,,,,2026-05
Detroit: Become Human,Intel Core i7-3770,8 GB,NVIDIA GeForce GTX 780 Ti,,Windows 10,8.0,0.9849,,mid,unknown,,,,,,2026-05
Blender,Intel Core i5-4590,8 GB,NVIDIA GeForce GTS 450,500 MB,Windows 8.1,8.0,0.9849,,unknown,unknown,,,,,,2026-05
