game_name,cpu,ram,gpu,storage,os
Hogwarts Legacy,Intel Core i5-6600,6 GB,NVIDIA GeForce GTX 980,30 GB,Windows 10
God of War,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 960,70 GB,Windows 10 64-bit
Cyberpunk 2077,Intel Core i5-3570K  or FX-8310,8 GB,NVIDIA GeForce GTX 970  or Radeon RX 470,70 GB,Windows 10 64-Bit
Fortnite,Intel Core i3-3225,4 GB,Intel HD 4000  or Radeon HD 7870,15 GB,Windows 7/8/10 64-bit
Valorant,Intel Core 2 Duo E8400  or Athlon 200GE,4 GB,Intel HD 4000,23 GB,Windows 7 64-bit
Red Dead Redemption 2,AMD FX-6300,8 GB,AMD Radeon R9 280,150 GB,Windows 7 64-Bit
Choo-Choo Charles,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 470,3 GB,Windows 7 64-bit
Apex Legends,Intel Core i3-6300  or FX-4350,6 GB,NVIDIA GeForce GT 640  or Radeon HD 7730,22 GB,Windows 7 64-bit
Rust,Intel Core i7-3770,8 GB,AMD Radeon R9 280,10 GB,Requires a 64-bit processor and operating system
Windows 11,Intel Celeron G4900,4 GB,NVIDIA GeForce GTX 1050,64 GB,Windows 10
Marvel’s Spider-Man Remastered,Intel Core i3-4160,8 GB,NVIDIA GeForce GTX 950,75 GB,Windows 10 64-bit
Need for Speed Unbound,Intel Core i5-8600,8 GB,NVIDIA GeForce GTX 1050 Ti,50 GB,Windows 10 64-bit
Death Stranding,Intel Core i5-3470,8 GB,AMD Radeon RX 560,80 GB,Windows 10
Football Manager 2023,AMD Athlon 64 FX-34,4 GB,AMD GeForce 9600M GT,7 GB,Windows 7
Call of Duty Modern Warfare 3,Intel Core 2 Duo E6600,2 GB,NVIDIA GeForce 8600 GT,16 GB,Windows XP
Xenia,Intel Pentium 4 2.00GHz,256 MB,ATI FireGL T2-128,310 MB,Windows 7/8/8.1/10
Lost Ark,Intel Core i3-2340UE,8 GB,AMD Radeon HD 6850,50 GB,Windows 10 (64-bit only)
Dead by Daylight,Intel Core i3-4170,8 GB,NVIDIA GeForce GTX 460,25 GB,"64-bit Operating Systems (Windows 7, Windows 8.1)"
Far Cry 4,Intel Core i5-750,4 GB,ATI Radeon HD 5850,30 GB,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only)
Call of Duty WW2,Intel Core i3-3225,8 GB,AMD Radeon HD 7850,90 GB,Windows 7 64-Bit
7 Days to Die,Intel Core 2 Duo E8400,6 GB,AMD Radeon HD 5450,4 GB,Ubuntu 12.04
FIFA 20,AMD Phenom II X4 965,8 GB,NVIDIA GeForce GTX 660,50 GB,Windows 7
